"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","DV_TYPE","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.GBR.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","United Kingdom","Annual","Millions","51998.0","60730.0","50218.0","67128.0","76679.0","92568.0","67882.0","44336.0","50354.0","56199.0","55202.0","67464.0","63795.0","64707.0","74963.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.PER.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Peru","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.ITA.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Italy","Annual","Millions","","","","","","","","","","","","5.154736","18.424875","18.306423","63.656231"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.HKG.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Hong Kong Special Administrative Region, People's Republic of China","Annual","Millions","","","","","","","","","","","","9542.86286","8857.651508","10082.830585","10840.114793"
"IMF.STA:DIP(12.0.0)","USA.SCC.INWD_D_AG_FALL_FE.LVA.A","OBS_VALUE","United States","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Latvia, Republic of","Annual","Millions","","","","","","","","","0.0","","","","0.0","",""
"IMF.STA:DIP(12.0.0)","USA.SCC.INWD_D_AG_FALL_FE.GX226.A","OBS_VALUE","United States","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","North Atlantic and Caribbean","Annual","Millions","","","","9.36739467","13.40913268","","","","","","","","","0.0","0.0"
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FALL_FE.U005.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","South America","Annual","Millions","0.0","0.0","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FALL_FE.KOR.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Korea, Republic of","Annual","Millions","0.0","0.0","0.0","0.0","5.403","0.0","0.397","0.024","4.598","5.275","0.428","16.169","93.7101833716754","36.6420397901265","21.357577380124"
"IMF.STA:DIP(12.0.0)","CHN.SCC.INWD_D_AG_FL_ALL.SVK.A","OBS_VALUE","China, People's Republic of","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","Slovak Republic","Annual","Millions","","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","1.6354"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.GBR.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","United Kingdom","Annual","Millions","","","","","","","","","","","","2.795268","3.726078","2.632662","2.72788"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.DNK.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Denmark","Annual","Millions","","","","","","","","","","","","2.393329","0.0","0.0","3.29684"
"IMF.STA:DIP(12.0.0)","CHN.SCC.INWD_D_AG_FALL_FE.PER.A","OBS_VALUE","China, People's Republic of","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Peru","Annual","Millions","0.0","0.0","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","USA.SCC.INWD_D_AG_FALL_FE.HUN.A","OBS_VALUE","United States","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Hungary","Annual","Millions","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","",""
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.IRL.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Ireland","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.U150.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Europe","Annual","Millions","","","","","","","","","","","","282.262391","436.703805","532.99583","472.876212"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.GX510.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","East Asia","Annual","Millions","","","","","","","","","","","","11432.680878","10637.653948","11187.532467","12343.881765"
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FL_ALL.MUS.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","Mauritius","Annual","Millions","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3974","0.394","0.0"
"IMF.STA:DIP(12.0.0)","USA.SCC.INWD_D_AG_FALL_FE.IRL.A","OBS_VALUE","United States","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Ireland","Annual","Millions","","","","","124.119","","529.1082","","","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.SCC.INWD_D_AG_FL_ALL.BIH.A","OBS_VALUE","China, People's Republic of","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","Bosnia and Herzegovina","Annual","Millions","","","","","","","","","","0.0","0.0","","","",""
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FALL_FE.MKD.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","North Macedonia, Republic of","Annual","Millions","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.LVA.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Latvia, Republic of","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.KOR.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Korea, Republic of","Annual","Millions","","","","","","","","","","","","2.018175","1.760868","1.454157","3.688413"
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FALL_FE.SVK.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Slovak Republic","Annual","Millions","0.0","","0.0","","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","USA.SCC.INWD_D_AG_FL_ALL.BRB.A","OBS_VALUE","United States","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","Barbados","Annual","Millions","","4.896784","0.2387395","3.32509265","0.9179025","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.POL.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Poland, Republic of","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.KAZ.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Kazakhstan, Republic of","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.ISL.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Iceland","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.LTU.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Lithuania, Republic of","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.PHL.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Philippines","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.PAK.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Pakistan","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.CZE.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Czech Republic","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.MAC.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Macao Special Administrative Region, People's Republic of China","Annual","Millions","","","","","","","","","","","","26.8346","28.235783","30.805434","31.102864"
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FALL_FE.IRL.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Ireland","Annual","Millions","","","","","","","0.0","0.0","","0.0","","","","","0.0"
"IMF.STA:DIP(12.0.0)","USA.SCC.INWD_D_AG_FALL_FE.GX454.A","OBS_VALUE","United States","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Other Near and Middle East Economies","Annual","Millions","","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.G001.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","World","Annual","Millions","20871.9","367.0","2234.35","2255.0","3953.974848","3579.3966482","2851.86","4052.89978446","4908.1","7841.624259","10511.9","12315.78315","11834.451207","12309.086543","13532.628158"
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FL_ALL.SWZ.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","Eswatini, Kingdom of","Annual","Millions","","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0",""
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FL_ALL.GRC.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","Greece","Annual","Millions","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FL_ALL.PER.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","Peru","Annual","Millions","0.0","0.0","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.PAK.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Pakistan","Annual","Millions","","","","","","","","","","","","","","",""
